Posto;CNPJ;Cidade;UF;Latitude;Longitude;S10;S500;Arla;Data Negociacao;Homologacao;Observacao;Telefone
MAHLE CARAMBEI COMERCIO DE COMBUSTIVEIS LTDA;;CARAMBEI;PR;-24,950602;-50,121136;6,58;5,88;3,68;26/06/2026;;;4231226256
AUTO POSTO IPIRANGA LTDA;;PAULA FREITAS;PR;-26,179606;-50,921704;6,24;6,34;2,98;26/06/2026;;;4231355555
POSTO DO TREVO LTDA;;RIBEIRAO PRETO;SP;-21,101919;-47,786835;7,19;7,24;2,98;21/06/2026;;;16361500881
MACAUBENSE COMERCIO DE DERIVADOS DE PETROLEO LTDA;;RAFAEL JAMBEIRO;BA;-12,560213;-39,470707;7,08;7,03;3,48;21/06/2026;;;77999998783
POSTO PAULISTAO RUBINEIA LTDA;;RUBINEIA;SP;-20,141642;-50,958271;6,68;6,68;2,98;16/05/2026;;;1721366460
BEATRIZ TEIXEIRA LACERDA CAMPOS;;ARAGUAINA;TO;-7,161618;-48,206706;6,58;6,48;3,48;08/06/2026;;;6392192367
POSTO 44 IJUI COMERCIO DE COMBUSTIVEIS LTDA;;IJUI;RS;-28,42019;-53,916407;6,16;6,08;2,73;22/06/2026;;;5533317500
GM PETROLEO EIRELI - EPP;;ALVORADA;TO;-12,493855;-49,117156;6,59;6,23;3,14;19/06/2026;;;6333531852
POSTO SOL DA DUTRA LTDA;;RESENDE;RJ;-22,458842;-44,424977;6,68;6,18;3,28;21/06/2026;;;2433590710
AUTO POSTO PRA FRENTE BRASIL LTDA 16;;GUAIRA;PR;-24,199309;-54,202417;6,43;;3,78;21/06/2026;;;4532281515
POSTO ALDO BARREIRAS LTDA;;BARREIRAS;BA;-12,121739;-45,089894;6,98;7,42;3,78;21/06/2026;;;99999999999
POSTO MACAUBENSE LTDA;;BARREIRAS;BA;-12,103261;-45,333537;7,18;7,14;3,37;20/06/2026;;;7533311264
REBUCCI AUTO POSTO LTDA;;GUAICARA;SP;-21,633811;-49,786972;6,94;6,59;2,88;17/06/2026;;;14981136566
MPS COMERCIO DE COMBUSTIVEIS LTDA ERECHIM FILIAL 21;;ERECHIM;RS;-27,634732;-52,311907;6,21;5,36;2,98;19/06/2026;;;05431968351
SIM REDE - NOVA STA RITA PARADOURO;;NOVA SANTA RITA;RS;-29,859326;-51,260364;6,11;6,08;;17/06/2026;;;55513479102
AUTO POSTO PRA FRENTE BRASIL LTDA 01;;CASCAVEL;PR;-24,989996;-53,508613;6,52;6,33;;16/06/2026;;;04532281515
Mirian Vilhena Auto Posto Com.Comb.Lubrif.Gas.Cult.Mad. Ltda;;PORTO VELHO;RO;-8,761193;-63,90044;6,58;6,71;3,98;16/06/2026;;;55693733020
AUTO POSTO PELANDA PERDIGA O LTDA;;MARACAJA;SC;-28,876819;-49,457136;6,08;5,98;;15/06/2026;;;4136081226
AUTO POSTO CONEXAO LTDA;;JACAREZINHO;PR;-23,069679;-49,933218;6,4;5,96;3,28;14/06/2026;;;4335257786
AMANCIO E PAULO COMERCIO DE COMBUSTIVEL LTDA;;PICOS;PI;-7,065758;-41,514445;6,86;6,96;3,58;26/05/2026;;;8981326589
MAHLE GRANDE PARADA COM DE COMB. LTDA;;ARAPONGAS;PR;-23,36568;-51,405134;6,68;5,63;3,48;13/06/2026;;;4231226208
MAHLE RIO VERDE COMERCIO DE COMBUSTIVEIS LTDA;;RIO VERDE;GO;-17,820737;-51,002335;6,68;6,58;3,68;11/06/2026;;;4231226205
AUTO POSTO MACEDAO LTDA;;BADY BASSITT;SP;-20,915922;-49,497833;6,43;;;12/06/2026;;;4933214704
AUTO POSTO JUMBO JET PETROLEO LTDA;;ARACATUBA;SP;-21,104466;-50,459262;6,68;6,28;3,28;12/06/2026;;;1836245000
DECIO COMERCIO E SERVICOS RODOVIARIOS LTDA;;PRESIDENTE VENCESLAU;SP;-21,88972;-51,850667;6,48;;2,98;06/06/2026;;;00000000000
AUTO POSTO CACIQUE II LTDA;;ARACATUBA;SP;-21,25751;-50,417502;7,68;;3,18;24/03/2026;;;01899748405
REDE DE POSTOS TOCA DA ONCA URUACU LTDA;;URUACU;GO;-14,541817;-49,161459;6,58;6,08;3,48;29/05/2026;;;6392104835
POSTO 7 FERNANDOPOLIS LTDA;;FERNANDOPOLIS;SP;-20,307176;-50,190999;6,48;6,16;3,08;06/06/2026;;;1734655885
ADELAR SERVICIOS SRL;;LAS CATITAS;EX;;;;;;;;;55559690895
REDE RUSSI LTDA - POSTO RUSSI 8;;FAXINAL DOS GUEDES;SC;-26,858894;-52,265418;6,28;6,44;3,14;02/06/2026;;;4934360886
REDE DE POSTOS MARAJO CANAPOLIS LTDA;;CANAPOLIS;MG;-18,739773;-49,096733;6,68;6,68;3,48;02/06/2026;;;6239996262
REDE HG COMBUSTIVEIS LTDA;;ITATIM;BA;-12,692714;-39,699059;7,18;7,08;2,99;28/05/2026;;;7534522323
AUTO POSTO PRATAO MIRANORTE LTDA;;MIRANORTE;TO;-9,531068;-48,5945;7,08;6,97;;10/03/2026;;;6333551561
SIM REDE DE POSTOS LTDA - URUGUAIANA BR290;;URUGUAIANA;RS;-29,775436;-57,039996;6,21;6,19;;27/05/2026;;;5534114318
POSTO 7 PENÁPOLIS LTDA;;PENAPOLIS;SP;-21,476886;-50,082214;6,58;6,16;3,08;27/05/2026;;;18991144148
REDE HG COMBUSTIVEIS LTDA;;LINHARES;ES;-19,547047;-40,165287;;;;;;;3321022102
MP POSTOS E LOGISTICA LTDA RONDA ALTA FILIAL 15;;RONDA ALTA;RS;-27,806599;-52,789672;;;;;;;05431968351
JMF COMERCIO DE COMBUSTIVEIS LTDA - PSG3;;FEIRA DE SANTANA;BA;-12,1769;-38,966058;7,6;;;25/05/2026;;;7532261302
REDE HG COMBUSTIVEIS LTDA;;GOVERNADOR VALADARES;MG;-18,832282;-41,988884;6,18;6,1;;01/02/2025;;;3321022121
AUTO POSTO PELANDA LTDA.;;FAZENDA RIO GRANDE;PR;;;6,64;6,34;;21/05/2026;;;4136341112
REDE DE POSTOS MARAJO HIDROLANDIA LTDA;;HIDROLANDIA;GO;-17,042791;-49,225956;6,58;6,58;3,48;17/05/2026;;;6239996262
POSTO CAVALO DE ACO LTDA;;XINGUARA;PA;-7,099921;-49,934417;6,88;;;01/05/2026;;;9434261566
SIM REDE DE POSTOS LTDA - SANTIAGO BR 287;;SANTIAGO;RS;-29,148362;-54,887841;6,39;6,34;2,99;13/05/2026;;;55549931357
POSTO ALDO MARINGA LTDA;;MARINGA;PR;-23,459146;-51,991615;5,81;5,74;;06/09/2025;;;4133815250
RODOPOSTO JUIZ DE FORA LTDA;;JUIZ DE FORA;MG;-21,798311;-43,414056;6,74;6,34;3,28;11/05/2026;;;3232418249
AUTO POSTO MS LTDA;;CHAPECO;SC;-27,227415;-52,675788;6,98;5,54;;07/05/2026;;;49999999999
REDE DE POSTOS MARAJO RIO DOS BOIS LTDA;;RIO DOS BOIS;TO;-9,351846;-48,542291;6,68;;3,48;06/05/2026;;;4933214777
POSTO QUARTO DE MILHA LTDA;;XEXEU;PE;-8,799789;-35,626324;6,68;;3,89;05/05/2026;;;8121192772
RODO POSTO SILVIO S LTDA;;JUIZ DE FORA;MG;-21,634952;-43,439785;6,88;6,43;;01/05/2026;;;3232220688
POSTO 7 CHEROKEE LTDA;;NOVA ODESSA;SP;-22,778728;-47,232229;6,58;;3,08;30/04/2026;;;99999999999
COM DE COMB IBIACA LTDA;;IBIACA;RS;-28,056197;-51,842015;6,6;5,58;2,78;30/04/2026;;;05433741116
POSTO ALDO SAO JOSE DOS PINHAIS LTDA;;SAO JOSE DOS PINHAIS;PR;-25,559625;-49,149766;6,63;6,63;3,58;28/04/2026;;;4133815250
MAHLE MERCEDES COMERCIO DE COMBUSTIVEIS LTDA;;PARANAVAI;PR;-23,076695;-52,415671;6,78;6,58;3,68;28/04/2026;;;4231226287
POSTO MAR DAS PEDRAS LTDA;;ITAJAI;SC;-26,890349;-48,713311;6,78;6,68;3,08;20/04/2026;;;49999286703
IPANEMA DERIVADOS DE PETROLEO LTDA-EPP;;ALVORADA;TO;-12,390293;-49,132836;6,94;;2,98;16/04/2026;;;6392082772
AUTO POSTO RAUL LINS LTDA;;PARNAMIRIM;PE;-8,09279;-39,56413;7,18;;3,53;16/04/2026;;;8738831028
SIM REDE DE POSTOS LTDA - ERECHIM FRINAPE;;ERECHIM;RS;-27,676039;-52,29098;6,69;6,63;3,04;15/04/2026;;;5499313575
POSTO 44 CAVALHADA COMERCIO DE COMBUSTIVEIS LTDA;;SAO BORJA;RS;-28,663028;-55,932866;6,13;6,05;2,74;11/03/2026;;;5534310700
COMERCIO DE COMBUSTIVEIS PARNAMIRIM LTDA ME;;PARNAMIRIM;PE;-8,09599;-39,586069;7,18;;3,58;26/03/2026;;;8335312218
POSTO PRATAO LTDA;;PRATA;MG;-19,310151;-48,92773;5,74;5,64;;01/03/2026;;;3434318800
AUTO POSTO SERTANEJO DE VOTUPORANGA LTDA;;VOTUPORANGA;SP;-20,459562;-49,868819;5,58;5,58;2,98;15/01/2026;;;1734233505
AUTO POSTO PARASAO;;REDENCAO;PA;;;5,74;;2,94;08/08/2025;;;9191899122
MONTE CARLO E CONVENIENCIA BALSAMO LTDA;;BALSAMO;SP;-20,716886;-49,590554;5,67;5,64;3,08;26/08/2025;;;4933214704
REDE DOM PEDRO DE POSTOS LTDA;;JUIZ DE FORA;MG;-21,652348;-43,433818;;;;;;;2125644257
POSTO PARADAO DA 101 LTDA;;LINHARES;ES;-19,402141;-40,067012;5,83;6,06;3,08;10/07/2025;;;27996538008
REDE HG COMBUSTIVEIS LTDA;;ITATIM;BA;-12,684933;-39,679004;;;;;;;7534522548
EDEMAR RUSSI  CIA LTDA - POSTO RUSSI 6;;ARAQUARI;SC;-26,553996;-48,719912;6,04;6,03;2,85;10/02/2025;;;4735115990
